run,iteration,event,accepted,x,y,height,step
"Start (2, -4)",0,Startpunkt,True,2.0,-4.0,0.619384,1.0
"Start (2, -4)",1,Exploration + Dimension 1,False,3.0,-4.0,0.334033,1.0
"Start (2, -4)",1,Exploration - Dimension 1,False,1.0,-4.0,0.121775,1.0
"Start (2, -4)",1,Exploration + Dimension 2,True,2.0,-3.0,0.705477,1.0
"Start (2, -4)",2,Musterschritt,True,2.0,-2.0,1.030927,1.0
"Start (2, -4)",2,Exploration + Dimension 1,False,3.0,-2.0,0.705477,1.0
"Start (2, -4)",2,Exploration - Dimension 1,False,1.0,-2.0,0.326012,1.0
"Start (2, -4)",2,Exploration + Dimension 2,False,2.0,-1.0,0.326012,1.0
"Start (2, -4)",2,Exploration - Dimension 2,False,2.0,-3.0,0.705477,1.0
"Start (2, -4)",3,Musterschritt,False,2.0,-1.0,0.326012,1.0
"Start (2, -4)",3,Exploration + Dimension 1,True,3.0,-1.0,0.658308,1.0
"Start (2, -4)",3,Exploration + Dimension 2,False,3.0,0.0,0.12058,1.0
"Start (2, -4)",3,Exploration - Dimension 2,True,3.0,-2.0,0.705477,1.0
"Start (2, -4)",4,Exploration + Dimension 1,False,3.0,-2.0,0.705477,1.0
"Start (2, -4)",4,Exploration - Dimension 1,False,1.0,-2.0,0.326012,1.0
"Start (2, -4)",4,Exploration + Dimension 2,False,2.0,-1.0,0.326012,1.0
"Start (2, -4)",4,Exploration - Dimension 2,False,2.0,-3.0,0.705477,1.0
"Start (2, -4)",4,Schrittweite halbiert,True,2.0,-2.0,1.030927,0.5
"Start (2, -4)",5,Exploration + Dimension 1,False,2.5,-2.0,0.990467,0.5
"Start (2, -4)",5,Exploration - Dimension 1,False,1.5,-2.0,0.660215,0.5
"Start (2, -4)",5,Exploration + Dimension 2,False,2.0,-1.5,0.660215,0.5
"Start (2, -4)",5,Exploration - Dimension 2,False,2.0,-2.5,0.990467,0.5
"Start (2, -4)",5,Schrittweite halbiert,True,2.0,-2.0,1.030927,0.25
"Start (2, -4)",6,Exploration + Dimension 1,True,2.25,-2.0,1.068175,0.25
"Start (2, -4)",6,Exploration + Dimension 2,False,2.25,-1.75,0.916668,0.25
"Start (2, -4)",6,Exploration - Dimension 2,True,2.25,-2.25,1.108994,0.25
"Start (2, -4)",7,Musterschritt,False,2.5,-2.5,1.022735,0.25
"Start (2, -4)",7,Exploration + Dimension 1,False,2.75,-2.5,0.958156,0.25
"Start (2, -4)",7,Exploration - Dimension 1,True,2.25,-2.5,1.038836,0.25
"Start (2, -4)",7,Exploration + Dimension 2,True,2.25,-2.25,1.108994,0.25
"Start (2, -4)",8,Exploration + Dimension 1,False,2.5,-2.25,1.038836,0.25
"Start (2, -4)",8,Exploration - Dimension 1,False,2.0,-2.25,1.068175,0.25
"Start (2, -4)",8,Exploration + Dimension 2,False,2.25,-2.0,1.068175,0.25
"Start (2, -4)",8,Exploration - Dimension 2,False,2.25,-2.5,1.038836,0.25
"Start (2, -4)",8,Schrittweite halbiert,True,2.25,-2.25,1.108994,0.125
"Start (2, -4)",9,Exploration + Dimension 1,False,2.375,-2.25,1.085837,0.125
"Start (2, -4)",9,Exploration - Dimension 1,False,2.125,-2.25,1.103653,0.125
"Start (2, -4)",9,Exploration + Dimension 2,False,2.25,-2.125,1.103653,0.125
"Start (2, -4)",9,Exploration - Dimension 2,False,2.25,-2.375,1.085837,0.125
"Start (2, -4)",9,Schrittweite halbiert,True,2.25,-2.25,1.108994,0.0625
"Start (2, -4)",10,Exploration + Dimension 1,False,2.3125,-2.25,1.100751,0.0625
"Start (2, -4)",10,Exploration - Dimension 1,True,2.1875,-2.25,1.110064,0.0625
"Start (2, -4)",10,Exploration + Dimension 2,True,2.1875,-2.1875,1.112074,0.0625
"Start (2, -4)",11,Musterschritt,False,2.125,-2.125,1.100708,0.0625
"Start (2, -4)",11,Exploration + Dimension 1,True,2.1875,-2.125,1.106209,0.0625
"Start (2, -4)",11,Exploration + Dimension 2,False,2.1875,-2.0625,1.092349,0.0625
"Start (2, -4)",11,Exploration - Dimension 2,True,2.1875,-2.1875,1.112074,0.0625
"Start (2, -4)",12,Exploration + Dimension 1,False,2.25,-2.1875,1.110064,0.0625
"Start (2, -4)",12,Exploration - Dimension 1,False,2.125,-2.1875,1.106209,0.0625
"Start (2, -4)",12,Exploration + Dimension 2,False,2.1875,-2.125,1.106209,0.0625
"Start (2, -4)",12,Exploration - Dimension 2,False,2.1875,-2.25,1.110064,0.0625
"Start (2, -4)",12,Schrittweite halbiert,True,2.1875,-2.1875,1.112074,0.03125
"Start (2, -4)",13,Exploration + Dimension 1,False,2.21875,-2.1875,1.112037,0.03125
"Start (2, -4)",13,Exploration - Dimension 1,False,2.15625,-2.1875,1.110139,0.03125
"Start (2, -4)",13,Exploration + Dimension 2,False,2.1875,-2.15625,1.110139,0.03125
"Start (2, -4)",13,Exploration - Dimension 2,False,2.1875,-2.21875,1.112037,0.03125
"Start (2, -4)",13,Schrittweite halbiert,True,2.1875,-2.1875,1.112074,0.015625
